OBJECTID,FEATURECODE,NAME_TXT,DISTRICT_NO,ShapeSTArea,ShapeSTLength
1,215,Anoka-Hennepin,0011,445791628.535963,148826.722304207
2,215,Robbinsdale,0281,76799674.5874538,47171.9014339735
3,215,Elk River,0728,439144755.719877,177484.721537789
4,215,Watertown-Mayer,0111,252685070.345478,122737.175330736
5,215,Buffalo-Hanover-Montrose,0877,387977867.822555,221447.070048398
6,215,Osseo,0279,169217737.872434,78512.8169296064
7,215,ELK RIVER AREA,0728,63820747.2696451,52208.5972252553
8,215,Minnetonka,0276,82853909.0388162,56735.370838883
9,215,Brooklyn Center,0286,7326146.90777514,13076.8672055627
10,215,Richfield,0280,40097987.449128,39692.805918912
11,215,Bloomington,0271,98706403.5410556,46949.245943758
12,215,St. Anthony-New Brighton,0282,6722489.86592496,12804.687700026
13,215,Delano,0879,167994661.234775,117863.966118056
14,215,St. Louis Park,0283,27179048.043575,23018.2801842654
15,215,Orono,0278,126756688.185694,69385.0611024417
16,215,Waconia,0110,259516725.309383,165435.997160391
17,215,Hopkins,0270,76683123.0128901,70904.8343717579
18,215,ANOKA-HENNEPIN 11-3,0011,73691582.0431888,45606.8713630203
19,215,Edina,0273,34186810.0604318,36136.5631136518
20,215,Eden Prairie,0272,88401686.9264231,51197.7249585444
21,215,Minneapolis,0001,148889958.413953,60895.4547061082
22,215,Wayzata,0284,110990411.164791,77138.8112918658
23,215,ANOKA-HENNEPIN 11-5,0011,18669051.1061052,35566.8773627402
24,215,Westonka,0277,73748868.6395133,53484.6460150168
25,215,Rockford,0883,112549324.890605,108804.673402693
